director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Adam Robitel,Lin Shaye,Angus Sampson,Leigh Whannell,Horror Mystery Thriller,insidious: the last key
Lauren Wolkstein,Alex Pettyfer,James Freedson-Jackson,Emily Althaus,Thriller Drama,the strange ones
Simon West,Dominic Cooper,Austin Stowell,Gemma Chan,Action Thriller,stratton
Warwick Thornton,Bryan Brown,Sam Neill,unknown,Drama History Western,sweet country
Jaume Collet-Serra,Liam Neeson,Vera Farmiga,Patrick Wilson,Action Thriller,the commuter
Babak Najafi,Taraji P. Henson,Billy Brown,Danny Glover,Thriller Action Crime,proud mary
Brett Donowho,Bruce Willis,Cole Hauser,Shawn Ashmore,Action,acts of violence
Trudie Styler,Alex Lawther,Abigail Breslin,Bette Midler,Comedy Drama,freak show
Sam Hoffman,Jemaine Clement,Elliott Gould,Ingrid Michaelson,Comedy,humor me
Daniela Thomas,Adriano Carvalho,Luana Nastas,unknown,Drama,vazante
Hiromasa Yonebayashi,Ruby Barnhill,Louis Ashbourne Serkis,Kate Winslet,Fantasy Adventure Animation,mary and the witch's flower
Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,Michael Peña,War Drama Action History,12 strong
Christian Gudegast,Gerard Butler,50 Cent,Pablo Schreiber,Action Thriller Crime,den of thieves
Bethany Ashton Wolf,Alex Roe,Jessica Rothe,John Benjamin Hickey,Romance Drama Music,forever my girl
Wes Ball,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Science Fiction Action,maze runner: the death cure
Ziad Doueiri,Adel Karam,Camille Salameh,Kamel El Basha,Comedy Crime,the insult
Ben Lewin,Dakota Fanning,Toni Collette,Alice Eve,Comedy Drama,please stand by
The Spierig Brothers,Helen Mirren,Jason Clarke,Sarah Snook,Horror Thriller,winchester
Sebastián Lelio,Daniela Vega,Francisco Reyes,unknown,Drama,a fantastic woman
Mario Van Peebles,Mario Van Peebles,William Fichtner,Ryan Guzman,Action Horror Thriller,armed
Julius Onah,Daniel Brühl,Elizabeth Debicki,Aksel Hennie,Horror Science Fiction Action Thriller,the cloverfield paradox
Bryan Coyne,Brea Grant,Graham Skipper,Aly Fitzgerald,Horror,bad apples
Will Gluck,James Corden,Domhnall Gleeson,Rose Byrne,Animation Adventure Family,peter rabbit
James Foley,Dakota Johnson,Jamie Dornan,Kim Basinger,Drama Romance,fifty shades freed
Clint Eastwood,Anthony Sadler,Alek Skarlatos,Spencer Stone,Thriller History Drama,the 15:17 to paris
Marco Polo Constandse,Marco Polo Constandse (director); Omar Chaparro,Marimar Vega,Ryan Carnes,Comedy,la boda de valentina
Surendra Poudel,Anmol K.C.,Aditi Budhathoki,Anoop Bikram Shahi,,kri
Brian Crano,Rebecca Hall,Dan Stevens,Morgan Spector,Comedy Romance Drama,permission
Holger Tappe,Emily Watson,Jason Isaacs,Nick Frost,,monster family
Alex Ross Perry,Emily Browning,Adam Horowitz,Mary-Louise Parker,Drama,golden exits
"Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Andy Serkis, John Kani, Florence Kasumba, Atandwa Kani, Sterling K. Brown, Isaach de Bankolé, Trevor Noah, Stan Lee, Sebastian Stan",Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Action Adventure Science Fiction,black panther
Nick Park,Eddie Redmayne,Tom Hiddleston,Maisie Williams,Family Comedy Animation Adventure,early man
Andrey Zvyagintsev,Maryana Spivak,Alexei Rozin,Matvey Novikov,Drama,loveless
Sally Potter,Timothy Spall,Kristin Scott Thomas,Patricia Clarkson,Comedy,the party
Mark Pellington,Jon Hamm,Nick Offerman,Amber Tamblyn,Drama,nostalgia
Lance Daly,Hugo Weaving,Jim Broadbent,Stephen Rea,Drama Western,black '47
Bruce Macdonald,Taylor James,Jackson Rathbone,Billy Zane,Action Drama Adventure,samson
"Jonathan Goldstein, John Francis Daley",Jason Bateman,Rachel McAdams,Kyle Chandler,Mystery Comedy Crime,game night
Alex Garland,Natalie Portman,Jennifer Jason Leigh,Gina Rodriguez,Action Science Fiction Horror Mystery,annihilation
Michael Sucsy,Angourie Rice,Maria Bello,Debby Ryan,Drama Fantasy Romance,every day
David Freyne,David Freyne (director); Ellen Page,Sam Keeley,Tom Vaughan-Lawlor,Horror Drama Science Fiction,the cured
Brian O'Malley,Charlotte Vega,Bill Milner,Eugene Simon,Drama Horror Romance Thriller,the lodgers
Francis Lawrence,Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts,Mystery Thriller,red sparrow
Eli Roth,Bruce Willis,Vincent D'Onofrio,Dean Norris,Action Crime Drama Thriller,death wish
Shawn Christensen,Logan Lerman,Elle Fanning,Michelle Monaghan,Mystery Drama,the vanishing of sidney hall
Samuel Maoz,Lior Ashkenazi,Sarah Adler,Yonatan Shiray,Comedy Drama War,foxtrot
Usher Morgan,Elyse Price,Joel Bernard,Katie Vincent,Thriller Action Crime Drama Mystery,pickings
Ava DuVernay,Storm Reid,Oprah Winfrey,Reese Witherspoon,Adventure Science Fiction Family Fantasy,a wrinkle in time
Nash Edgerton,David Oyelowo,Charlize Theron,Joel Edgerton,Comedy Action,gringo
Cory Finley,Olivia Cooke,Anya Taylor-Joy,Anton Yelchin,Drama Thriller,thoroughbreds
Armando Iannucci,Steve Buscemi,Simon Russell Beale,Paddy Considine,Comedy Drama History,the death of stalin
Paolo Virzì,Donald Sutherland,Helen Mirren,unknown,Drama Romance Adventure,the leisure seeker
Johannes Roberts,Christina Hendricks,Martin Henderson,Bailee Madison,Horror Thriller,the strangers: prey at night
Rob Cohen,Toby Kebbell,Maggie Grace,Ryan Kwanten,Action Crime Thriller,the hurricane heist
Roar Uthaug,Alicia Vikander,Dominic West,Walton Goggins,Action Adventure Fantasy,tomb raider
Greg Berlanti,Nick Robinson,Katherine Langford,Alexandra Shipp,Comedy Drama Romance,"love, simon"
Jon Erwin,Cloris Leachman,Dennis Quaid,Priscilla Shirer,Music Drama,i can only imagine
José Padilha,Rosamund Pike,Daniel Brühl,Vincent Cassel,Thriller Drama Crime,7 days in entebbe
Laurie Collyer,Melissa Leo,Tessa Thompson,La La Anthony,Comedy,furlough
Eric England,Sophie Turner,Dylan McDermott,Jack Kilmer,Thriller Drama,josie
Max Winkler,Zoey Deutch,Kathryn Hahn,Tim Heidecker,Drama Comedy,flower
Steven S. DeKnight,John Boyega,Scott Eastwood,Cailee Spaeny,Action Fantasy Science Fiction Adventure,pacific rim: uprising
Wes Anderson,Bryan Cranston,Edward Norton,Bill Murray,Adventure Comedy Animation,isle of dogs
John Stevenson,James McAvoy,Emily Blunt,Johnny Depp,Animation Family Fantasy Comedy Adventure Mystery,sherlock gnomes
Steven Soderbergh,Claire Foy,Joshua Leonard,Jay Pharoah,Horror Thriller,unsane
Andrew Hyatt,James Faulkner,Jim Caviezel,Olivier Martinez,Drama History,"paul, apostle of christ"
Stanley Tucci,Geoffrey Rush,Armie Hammer,Clémence Poésy,Drama History,final portrait
Scott Speer,Bella Thorne,Patrick Schwarzenegger,Rob Riggle,Romance Drama,midnight sun
Ryan Justice,Amanda Delaney,Justin Maina,Sean Michael Gloria,Thriller,followers
Steven Spielberg,Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Science Fiction Adventure Action,ready player one
Tyler Perry,Taraji P. Henson,Lyriq Bent,Tika Sumpter,Thriller,tyler perry's acrimony
Michael Mason,David A. R. White,John Corbett,Shane Harper,Drama,god's not dead: a light in darkness
Aaron Katz,Lola Kirke,Zoë Kravitz,Greta Lee,Science Fiction Action Thriller,gemini
Adam Rifkin,Burt Reynolds,Ariel Winter,Clark Duke,Drama,the last movie star
John Krasinski,John Krasinski,Emily Blunt,Millicent Simmonds,Science Fiction Thriller Horror,a quiet place
Kay Cannon,Leslie Mann,Ike Barinholtz,John Cena,Comedy,blockers
Lynne Ramsay,Joaquin Phoenix,Ekaterina Samsonov,Alex Manette,Thriller Drama,you were never really here
John Curran,Jason Clarke,Kate Mara,Ed Helms,Drama Thriller History,chappaquiddick
"Drew Fellman, David Douglas",Kristen Bell,unknown,unknown,Documentary,pandas
Andrew Haigh,Charlie Plummer,Chloë Sevigny,Travis Fimmel,Drama Adventure,lean on pete
Sean McNamara,Helen Hunt,William Hurt,Erin Moriarty,Drama,the miracle season
Brad Anderson,Jon Hamm,Rosamund Pike,Dean Norris,Action Thriller Drama,beirut
Brad Peyton,Dwayne Johnson,Naomie Harris,Malin Åkerman,Action,rampage
Jeff Wadlow,Lucy Hale,Tyler Posey,Violett Beane,Thriller Horror,truth or dare
Chloé Zhao,Brady Jandreau,unknown,unknown,Western Drama,the rider
Richard Lanni,Logan Lerman,Helena Bonham Carter,Gérard Depardieu,Animation Adventure Family History War,sgt. stubby: an american hero
"Abby Kohn, Marc Silverstein",Amy Schumer,Michelle Williams,Emily Ratajkowski,Comedy Romance,i feel pretty
Jay Chandrasekhar,Jay Chandrasekhar,Paul Soter,Steve Lemme,Comedy Crime Mystery,super troopers 2
Deon Taylor,Paula Patton,Omar Epps,Missi Pyle,Horror Thriller,traffik
Peter Livolsi,Asa Butterfield,Nick Offerman,Ellen Burstyn,Drama,the house of tomorrow
Naoko Yamada,Atsumi Tanezaki,Nao Tōyama,unknown,Animation Drama Music,liz and the blue bird
Anthony Russo and Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Adventure Action Science Fiction,avengers: infinity war
Sebastián Lelio,Rachel Weisz,Rachel McAdams,Alessandro Nivola,Drama Romance,disobedience
Per Fly,Ben Kingsley,Theo James,Jacqueline Bisset,Thriller Drama History,backstabbing for beginners
Deniz Gamze Ergüven,Halle Berry,Daniel Craig,unknown,Adventure Drama Action,kings
"Rob Greenberg, Bob Fisher (directors/screenplay); Anna Faris, Eugenio Derbez, Eva Longoria, John Hannah, Josh Segarra, Mel Rodriguez",Anna Faris,Eugenio Derbez,Eva Longoria,Romance Comedy,overboard
Jason Reitman,Charlize Theron,Mackenzie Davis,Mark Duplass,Drama,tully
Dean Devlin,David Tennant,Robert Sheehan,Carlito Olivero,Thriller Crime Horror,bad samaritan
Bobby Miller,Johnny Galecki,Anna Friel,Oliver Platt,Drama Comedy Fantasy,the cleanse
Xavier Beauvois,Nathalie Baye,unknown,unknown,Family Animation Fantasy Action Adventure,the guardians
Ben Falcone,Melissa McCarthy,Maya Rudolph,Molly Gordon,Comedy,life of the party
James McTeigue,Gabrielle Union,Billy Burke,Richard Cabral,Thriller Crime Action Horror,breaking in
Michael Mayer,Saoirse Ronan,Annette Bening,Corey Stoll,Drama Romance Comedy,the seagull
Vaughn Stein,Margot Robbie,Simon Pegg,Dexter Fletcher,Crime Drama Thriller,terminal
Coralie Fargeat,Matilda Lutz,Kevin Janssens,Vincent Colombe,Animation Action Fantasy,revenge
David Leitch,Ryan Reynolds,Josh Brolin,Zazie Beetz,Action Comedy Adventure,deadpool 2
Bill Holderman,Jane Fonda,Candice Bergen,Mary Steenburgen,Comedy Romance Drama,book club
Paul Schrader,Ethan Hawke,Amanda Seyfried,Cedric Kyles,Drama,first reformed
Wim Wenders,Wim Wenders (director); Pope Francis,unknown,unknown,Documentary,pope francis: a man of his word
Raja Gosnell,Will Arnett,Natasha Lyonne,Ludacris,Adventure Crime Family Comedy,show dogs
Ron Howard,Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Science Fiction Adventure,solo: a star wars story
John Cameron Mitchell,Elle Fanning,Alex Sharp,Nicole Kidman,Comedy Music Romance Science Fiction,how to talk to girls at parties
Anthony Byrne,Natalie Dormer,Emily Ratajkowski,Ed Skrein,Thriller Mystery,in darkness
Bruce LaBruce,Susanne Sachße,Viva Ruiz,Kembra Pfahler,Drama,the misandrists
"James Franco, Bruce Thierry Cheung",James Franco,Suki Waterhouse,Jeffrey Wahlberg,Science Fiction,future world
Tim Kirkby,Johnny Knoxville,Chris Pontius,unknown,Comedy Drama,action point
Baltasar Kormákur,Shailene Woodley,Sam Claflin,unknown,Thriller Romance Adventure,adrift
Leigh Whannell,Logan Marshall-Green,Betty Gabriel,Harrison Gilbertson,Action Thriller Science Fiction,upgrade
Bart Layton,Evan Peters,Barry Keoghan,Blake Jenner,Drama Crime Documentary,american animals
Theresa Bennett,Noël Wells,Josh Radnor,Aya Cash,Comedy Romance,social animals
Gary Ross,Sandra Bullock,Cate Blanchett,Anne Hathaway,Crime Comedy Action,ocean's 8
Morgan Neville,Morgan Neville (director); Fred Rogers,unknown,unknown,Documentary,won't you be my neighbor?
Ari Aster,Toni Collette,Alex Wolff,Milly Shapiro,Horror Mystery Thriller,hereditary
Drew Pearce,Jodie Foster,Sterling K. Brown,Sofia Boutella,Thriller Science Fiction Action,hotel artemis
Director X,Trevor Jackson,Jason Mitchell,Michael K. Williams,Action Crime,superfly
Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Action Adventure Animation Family,incredibles 2
Jeff Tomsic,Ed Helms,Jeremy Renner,Jon Hamm,Comedy Action,tag
Dominic Cooke,Saoirse Ronan,Billy Howle,Emily Watson,Drama Romance,on chesil beach
Kevin Connolly,John Travolta,Kelly Preston,Stacy Keach,Crime Drama History Thriller,gotti
J.A. Bayona,Chris Pratt,Bryce Dallas Howard,Rafe Spall,Action Adventure Science Fiction,jurassic world: fallen kingdom
Shana Feste,Vera Farmiga,Christopher Plummer,Lewis MacDougall,Comedy Drama,boundaries
"David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska",Robert Pattinson,Mia Wasikowska,unknown,Comedy Western,damsel
Mike P. Nelson,Tyler Hoechlin,Kate Bosworth,Lance Reddick,Thriller Horror,the domestics
Stefano Sollima,Benicio del Toro,Josh Brolin,Isabela Moner,Action Crime Drama Thriller,sicario: day of the soldado
Debra Granik,Ben Foster,Thomasin McKenzie,Jeff Kober,Drama,leave no trace
Charles Stone III,Kyrie Irving,Lil Rel Howery,Shaquille O'Neal,Comedy,uncle drew
Susanna White,Jessica Chastain,Michael Greyeyes,Chaske Spencer,Drama History Western,woman walks ahead
Gerard McMurray,Y'lan Noel,Lex Scott Davis,Joivan Wade,Action Science Fiction Thriller Horror Crime,the first purge
Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Peña,Action Adventure Science Fiction,ant-man and the wasp
Boots Riley,Lakeith Stanfield,Tessa Thompson,Armie Hammer,Fantasy Science Fiction Comedy,sorry to bother you
Kevin MacDonald,Whitney Houston,unknown,unknown,Music Documentary,whitney
Genndy Tartakovsky,Adam Sandler,Andy Samberg,Selena Gomez,Family Fantasy Comedy Animation,hotel transylvania 3: summer vacation
Rawson Marshall Thurber,Dwayne Johnson,Neve Campbell,Chin Han,Action,skyscraper
Bo Burnham,Elsie Fisher,Josh Hamilton,Emily Robinson,Comedy Drama,eighth grade
Gus Van Sant,Joaquin Phoenix,Rooney Mara,Jonah Hill,Comedy Drama,"don't worry, he won't get far on foot"
Rob Reiner,Woody Harrelson,Tommy Lee Jones,James Marsden,Drama History Thriller,shock and awe
Ol Parker,Lily James,Amanda Seyfried,Pierce Brosnan,Comedy Romance,mamma mia! here we go again
Antoine Fuqua,Denzel Washington,Ashton Sanders,Pedro Pascal,Action Thriller Crime,the equalizer 2
Carlos López Estrada,Janina Gavankar,Ethan Embry,Daveed Diggs,Comedy Drama,blindspotting
Stephen Susco,Colin Woodell,Rebecca Rittenhouse,Betty Gabriel,Horror Mystery Thriller,unfriended: dark web
Shinsuke Sato,Shinsuke Sato (director); Sota Fukushi,Hana Sugisaki,unknown,Action Fantasy Adventure,bleach
Édouard Deluc,Vincent Cassel,Tuheï Adams,Malik Zidi,Drama Romance,gauguin – voyage de tahiti
Christopher McQuarrie,Tom Cruise,Henry Cavill,Ving Rhames,Action Adventure,mission: impossible – fallout
Peter Rida Michail,Scott Menville,Khary Payton,Tara Strong,Animation Action Comedy Science Fiction,teen titans go! to the movies
Tsui Hark,Tsui Hark (director),Chang Chia-lu,Chen Kuo-Fu (screenplay),Mystery Fantasy Adventure Action,detective dee: the four heavenly kings
Elijah Bynum,Timothée Chalamet,Maika Monroe,Alex Roe,Drama Comedy,hot summer nights
Marc Turtletaub,Kelly Macdonald,Irrfan Khan,David Denman,Drama,puzzle
Marc Forster,Ewan McGregor,Hayley Atwell,Jim Cummings,Adventure Comedy Family Fantasy,christopher robin
Jennifer Yuh Nelson,Amandla Stenberg,Mandy Moore,Harris Dickinson,Science Fiction Action Drama Romance Adventure Thriller,the darkest minds
Susanna Fogel,Mila Kunis,Kate McKinnon,Justin Theroux,Action Comedy,the spy who dumped me
Desiree Akhavan,Chloë Grace Moretz,Sasha Lane,John Gallagher,Drama,the miseducation of cameron post
Augustine Frizzell,Maia Mitchell,Camila Morrone,Kyle Mooney,Comedy,never goin' back
Ken Marino,Nina Dobrev,Finn Wolfhard,Vanessa Hudgens,Romance Comedy Drama,dog days
Jon Turteltaub,Jason Statham,Li Bingbing,Rainn Wilson,Action Science Fiction Horror,the meg
Spike Lee,John David Washington,Adam Driver,Laura Harrier,Crime Drama History Comedy,blackkklansman
Sylvain White,Joey King,Julia Goldani Telles,Jaz Sinclair,Horror Mystery Thriller,slender man
Jean-Stéphane Sauvaire,Joe Cole,unknown,unknown,Drama Action Crime,a prayer before dawn
Jon M. Chu,Constance Wu,Henry Golding,Gemma Chan,Comedy Drama Romance,crazy rich asians
Albert Hughes,Kodi Smit-McPhee,Leonor Varela,Jens Hultén,Adventure Drama,alpha
Peter Berg,Mark Wahlberg,John Malkovich,Lauren Cohan,Action Thriller,mile 22
Björn Runge,Glenn Close,Jonathan Pryce,Christian Slater,Drama,the wife
James Cox,Ansel Elgort,Taron Egerton,Kevin Spacey,Drama Thriller,billionaire boys club
Jesse Peretz,Ethan Hawke,Rose Byrne,unknown,Comedy Drama Romance,"juliet, naked"
Rodrigo Cortés,AnnaSophia Robb,Uma Thurman,Isabelle Fuhrman,Thriller Drama Fantasy Horror,down a dark hall
Brian Henson,Melissa McCarthy,Maya Rudolph,Joel McHale,Action Comedy Crime,the happytime murders
Aneesh Chaganty,John Cho,Debra Messing,unknown,Thriller Mystery Drama,searching
Michael Noer,Charlie Hunnam,Rami Malek,unknown,Drama History Crime,papillon
Oliver Daly,Alex Neustaedter,Becky G,Alex MacNicoll,Science Fiction Action Adventure Family,a.x.l.
Chris Weitz,Oscar Isaac,Ben Kingsley,Lior Raz,Drama History Thriller,operation finale
"Jonathan Baker, Josh Baker",Myles Truitt,Jack Reynor,Zoë Kravitz,Science Fiction Action,kin
Lenny Abrahamson,Domhnall Gleeson,Ruth Wilson,Will Poulter,Mystery Drama Horror History,the little stranger
Victor Levin,Winona Ryder,Keanu Reeves,unknown,Romance Comedy Drama,destination wedding
Corin Hardy,Demián Bichir,Taissa Farmiga,Jonas Bloquet,Horror Mystery Thriller,the nun
Pierre Morel,Jennifer Garner,John Ortiz,Juan Pablo Raba,Action Thriller,peppermint
Shane Black,Boyd Holbrook,Trevante Rhodes,Jacob Tremblay,Science Fiction Action Adventure Comedy,the predator
Yann Demange,Matthew McConaughey,Richie Merritt,Bel Powley,Crime Drama,white boy rick
Paul Feig,Anna Kendrick,Blake Lively,Henry Golding,Crime Thriller,a simple favor
Richard Eyre,Emma Thompson,Stanley Tucci,Fionn Whitehead,Drama,the children act
Craig William Macneill,Chloë Sevigny,Kristen Stewart,Jay Huguley,Crime Drama Thriller,lizzie
